"Smooth muscle cells, vascular smooth muscle cells, pericytes, myofibroblasts"
"T cells, CD4+ T cells, naive T cells, thymocytes"
"Brown adipocytes, adipocytes, pericytes, fibroblasts"
"Neutrophils, granulocytes, myeloid progenitor cells, monocytes"
"Monocytes, macrophages, dendritic cells, neutrophils"
"Mesothelial cells, epithelial cells, peritoneal mesothelial cells, mesothelioma cells"
"Mast cells, basophils, hematopoietic stem cells, eosinophils"
"M2 macrophages, monocytes, dendritic cells, Kupffer cells"
"Natural killer cells, cytotoxic T lymphocytes, CD8+ T cells, NKT cells"
"Endothelial cells, megakaryocytes, platelets, hematopoietic progenitor cells"
"Neurons, cortical neurons, Purkinje cells, neural progenitor cells"
"Dendritic cells, monocytes, B cells, antigen-presenting cells"
"B cells, plasma cells, memory B cells, naive B cells"
"Adipocytes, white adipocytes, brown adipocytes, pre-adipocytes"
"Lymphatic endothelial cells, endothelial cells, lymphatic vessel cells, lymphatic capillary cells"
"Platelets, megakaryocytes, thrombocytes, megakaryocyte progenitor cells"
"Developing B cells, lymphoid progenitor cells, pro-B cells, pre-B cells"
"Dendritic cells, eosinophils, plasmacytoid dendritic cells, monocytes"
"Plasmacytoid dendritic cells, dendritic cells, immature dendritic cells, lymphoid progenitors"
"Pro-B cells, pre-B cells, immature B cells, lymphoid progenitor cells"
"Activated T cells, proliferating T cells, T cell blasts, cycling lymphocytes"
"Fibroblasts, osteoblasts, mesenchymal stem cells, smooth muscle cells"
"B cells, plasma cells, pre-B cells, lymphoid progenitor cells"
"Neutrophils, immature neutrophils, myeloid progenitor cells, granulocytes"
"Plasma cells, mature B cells, plasmablasts, antibody-secreting cells"
"Platelets, megakaryocytes, endothelial cells, thrombocytes"
"Plasmacytoid dendritic cells, dendritic cells, immune progenitors, thymic epithelial cells"
"Hematopoietic stem cells, early progenitors, CD34+ cells, multipotent stem cells"
"Natural killer cells, NKT cells, innate lymphoid cells, cytotoxic T cells"
"Hematopoietic stem cells, progenitor cells, early lymphoid progenitors, multipotent stem cells"
"Cytotoxic T cells, natural killer cells, CD8+ T cells, gamma-delta T cells"
"Megakaryocyte–erythroid progenitors, erythroblasts, immature erythrocytes, megakaryocytes"
"Hematopoietic stem cells, progenitor cells, CD34+ cells, early lymphoid progenitors"
"Dendritic cells, myeloid dendritic cells, monocytes, macrophages"
"Cross-presenting dendritic cells, CD141+ dendritic cells, conventional type 1 dendritic cells, XCR1+ dendritic cells"
"Cytotoxic T cells, CD8+ T cells, naive T cells, helper T cells"
"CD8+ T cells, cytotoxic T lymphocytes, T cells, naive T cells"
"NKT cells, cytotoxic T cells, CD8+ T cells, gamma-delta T cells"
"Natural killer cells, cytotoxic lymphocytes, CD56+ NK cells, innate lymphoid cells"
"Cytotoxic T cells, CD8+ T cells, NKT cells, natural killer cells"
"Helper T cells, naive T cells, CD4+ T cells, T cells"
"Helper T cells, regulatory T cells, CD4+ T cells, naive T cells"
"Monocytes, macrophages, dendritic cells, inflammatory monocytes"
"Helper T cells, naive T cells, CD4+ T cells, T cells"
"NKT cells, CD4+ T cells, CD8+ T cells, helper T cells"
"B cells, naive B cells, memory B cells, follicular B cells"
"B cells, memory B cells, plasma cells, naive B cells"
"Monocytes, neutrophils, macrophages, inflammatory monocytes"
"Macrophages, monocytes, Kupffer cells, microglia"
"Hematopoietic stem cells, progenitor cells, early progenitors, CD34+ cells"
"Erythrocytes, reticulocytes, erythroid precursors, normoblasts"
"NKT cells, natural killer cells, cytotoxic T cells, gamma-delta T cells"
"Mast cells, basophils, eosinophils, cells involved in allergic responses"
"Plasmacytoid dendritic cells, dendritic cells, immature dendritic cells, immunoregulatory cells"
"Natural killer cells, NKT cells, cytotoxic lymphocytes, innate lymphoid cells"
"Pancreatic beta cells, endocrine pancreas cells, islet cells, insulin-producing cells"
"Cortical neurons, neurons, excitatory neurons, neural progenitor cells"
"Cortical neurons, glutamatergic neurons, neurons, excitatory neurons"
"Pancreatic acinar cells, exocrine pancreas cells, digestive enzyme-secreting cells, pancreatic ductal cells"
"Kidney progenitor cells, metanephric mesenchyme cells, nephron progenitor cells, renal stem cells"
"Pancreatic ductal cells, proximal tubule cells, exocrine pancreas cells, pancreatic progenitor cells"
"Neurons, cortical neurons, glutamatergic neurons, excitatory neurons"
"Cortical neurons, neural progenitor cells, neurons, interneurons"
"Fibroblasts, vascular smooth muscle cells, mesenchymal stem cells, pericytes"
"Retinal pigment epithelial cells, photoreceptor cells, retinal cells, melanocytes"
"Mesenchymal stem cells, fibroblasts, vascular smooth muscle cells, pericytes"
"Pericytes, smooth muscle cells, fibroblasts, vascular mural cells"
"Hepatocytes, liver cells, biliary epithelial cells, hepatoblasts"
"Neurons, cortical neurons, glutamatergic neurons, neural progenitor cells"
"Cardiomyocytes, cardiac muscle cells, heart muscle cells, ventricular myocytes"
"Hematopoietic stem cells, progenitor cells, early myeloid progenitors, monocytes"
"Gastric epithelial cells, mucous cells, chief cells, parietal cells"
"Thymic epithelial cells, T cell progenitors, thymocytes, cortical thymic epithelial cells"
"Thymic epithelial cells, thymocytes, T cell progenitors, medullary thymic epithelial cells"
"Placental trophoblasts, syncytiotrophoblasts, cytotrophoblasts, placental cells"
"Lens fiber cells, lens epithelial cells, ocular lens cells, crystallin-expressing cells"
"Purkinje cells, cerebellar neurons, inhibitory neurons, GABAergic neurons"
"Goblet cells, mucous cells, airway epithelial cells, secretory epithelial cells"
"Enteroendocrine cells, neuroendocrine cells, G cells, D cells"
"Central nervous system neurons, retinal ganglion cells, amacrine cells, cortical neurons"
"Hepatic stellate cells, hepatic progenitor cells, hepatocytes, Kupffer cells"
"Gastric parietal cells, gastric epithelial cells, chief cells, mucous neck cells"
"Mesothelial cells, fibroblasts, peritoneal mesothelial cells, serosal epithelial cells"
"Ciliated epithelial cells, airway epithelial cells, multiciliated cells, respiratory epithelial cells"
"Parasympathetic neurons, autonomic neurons, enteric neurons, cholinergic neurons"
"Neurons, sympathetic neurons, autonomic neurons, enteric neurons"
"Placental cells, trophoblasts, syncytiotrophoblasts, cytotrophoblasts"
"Epithelial cells, keratinocytes, squamous epithelial cells, basal epithelial cells"
"T cells, thymocytes, T cell progenitors, naive T cells"
"Schwann cells, oligodendrocyte precursor cells, peripheral glial cells, myelinating cells"
"Cortical neurons, interneurons, neurons, GABAergic neurons"
"Hepatocytes, liver cells, fetal liver cells, hepatoblasts"
"Megakaryocytes, platelets, thrombocytes, megakaryocyte progenitor cells"
"Neurons, cortical neurons, hippocampal neurons, pyramidal neurons"
"Fibroblasts, mesenchymal stem cells, myofibroblasts, osteoblasts"
"Leydig cells, adrenal cortical cells, steroidogenic cells, gonadal cells"
"Monocytes, macrophages, dendritic cells, antigen-presenting cells"
"Type II alveolar cells, pneumocytes, alveolar epithelial cells, lung epithelial cells"
"Endothelial cells, vascular endothelial cells, lymphatic endothelial cells, microvascular endothelial cells"
"Skeletal muscle satellite cells, muscle progenitor cells, myoblasts, skeletal muscle cells"
"Neurons, Neural progenitor cells, Astrocytes, Oligodendrocyte precursor cells"
"Noradrenergic neurons, Neuroendocrine cells, Monoaminergic neurons, Pericytes"
"Renal epithelial cells, Kidney progenitor cells, Tubular epithelial cells, Collecting duct cells"
"Lymphatic endothelial cells, Sinusoidal endothelial cells, Vascular endothelial cells, Macrophages"
"Neurons, Cortical neurons, GABAergic neurons, Glutamatergic neurons"
"Macrophages, Dendritic cells, Monocytes, Mesenchymal stromal cells"
"Mesothelial cells, Mesenchymal cells, Fibroblasts, Hepatocytes"
"Skeletal muscle cells, Myoblasts, Satellite cells, Myotubes"
"Schwann cells, Oligodendrocytes, Neural crest cells, Peripheral glial cells"
"Neurons, Cortical neurons, Synaptic neurons, Glutamatergic neurons"
"T cells, CD8+ T cells, CD4+ T cells, Natural killer cells"
"Neurons, Photoreceptor cells, Cortical neurons, Retinal cells"
"Fibroblasts, Mesenchymal stromal cells, Endothelial cells, Smooth muscle cells"
"Neurons, Sensory neurons, Auditory hair cells, Cortical neurons"
"Noradrenergic neurons, Neuroendocrine cells, Neurons, Pericytes"
"Neurons, Cerebellar neurons, Glutamatergic neurons, Cortical neurons"
"Erythroblasts, Erythroid cells, Fetal erythroid cells, Erythrocytes"
"Mast cells, Hematopoietic stem cells, Cardiomyocytes, Neurons"
"Fibroblasts, Adipocytes, Smooth muscle cells, Mesenchymal cells"
"Mast cells, Basophils, Eosinophils, Hematopoietic stem cells"
"Lymphatic endothelial cells, Vascular endothelial cells, Neurons, Mesenchymal cells"
"Macrophages, Monocytes, Dendritic cells, Endothelial cells"
"Fibroblasts, Chondrocytes, Adipocytes, Mesothelial cells"
"T cells, Thymocytes, Naive T cells, T helper cells"
"Neurons, Neural progenitor cells, Neural crest-derived cells, Cortical neurons"
"Natural killer cells, Cytotoxic T lymphocytes, NK-T cells, Activated T cells"
"Pericytes, Vascular smooth muscle cells, Mesenchymal cells, Fibroblasts"
"Vascular smooth muscle cells, Smooth muscle cells, Pericytes, Myofibroblasts"
"Endothelial cells, Erythroid progenitor cells, Hematopoietic stem cells, Megakaryocytes"
"Cardiomyocytes, Cardiac muscle cells, Cardiac myocytes, Cardiac conduction cells"
"Fibroblasts, Endothelial cells, Neurons, Mesenchymal stromal cells"
"Monocytes, Macrophages, Dendritic cells, Neutrophils"
"Endothelial cells, Vascular smooth muscle cells, Fibroblasts, Adipocytes"
"Endothelial cells, Fibroblasts, Mesenchymal stromal cells, Pericytes"
"Arterial endothelial cells, Endothelial cells, Vascular smooth muscle cells, Mesenchymal cells"
"Adipocytes, Lipid-storing cells, White adipose tissue cells, Brown adipocytes"
"B cells, Plasma cells, Memory B cells, Marginal zone B cells"
"Cardiomyocytes (atrial), Cardiac muscle cells, Cardiomyocytes, Cardiac conduction cells"
"Proximal tubule epithelial cell, Collecting duct epithelial cell, Distal tubule epithelial cell, Loop of Henle epithelial cell"
"Collecting duct principal cell, Distal convoluted tubule cell, Intercalated cell, Loop of Henle cell"
"Collecting duct epithelial cell, Distal tubule epithelial cell, Proximal tubule epithelial cell, Loop of Henle cell"
"Endothelial cell, Vascular smooth muscle cell, Mesangial cell, Fibroblast"
"Endothelial cell, Vascular endothelial cell, Lymphatic endothelial cell, Glomerular endothelial cell"
"Collecting duct principal cell, Intercalated cell, Distal tubule cell, Proximal tubule cell"
"Proximal tubule epithelial cell, Reabsorptive epithelial cell, Renal epithelial cell, Brush border cell"
"Podocyte, Mesangial cell, Parietal epithelial cell, Endothelial cell"
"Thick ascending limb cell, Loop of Henle epithelial cell, Tubular epithelial cell, Renal epithelial cell"
"Vascular smooth muscle cell, Pericyte, Mesangial cell, Fibroblast"
"Fibroblast, Mesangial cell, Smooth muscle cell, Pericyte"
"Macrophage, T cell, B cell, Dendritic cell"
"Distal convoluted tubule cell, Distal tubule epithelial cell, DCT cell, Cortical collecting duct cell"
"Podocyte, Glomerular epithelial cell, Kidney filtration cell, Visceral epithelial cell"
"Collecting duct epithelial cell, Distal tubule epithelial cell, Renal epithelial cell, Proximal tubule cell"
"Intercalated cell, Collecting duct intercalated cell, Alpha-intercalated cell, Beta-intercalated cell"
"Liver sinusoidal endothelial cell, endothelial cell, Kupffer cell, lymphatic endothelial cell"
"Proliferating cell, hepatocyte, progenitor cell, cholangiocyte"
"Fibroblast, hepatic stellate cell, smooth muscle cell, pericyte"
"Plasma cell, B cell, marginal zone B cell, activated B cell"
"Plasmacytoid dendritic cell, natural killer cell, cytotoxic T cell, B cell"
"Kupffer cell, macrophage, monocyte, activated macrophage"
"Natural killer cell, cytotoxic T cell, CD8+ T cell, gamma delta T cell"
"Hepatocyte, liver parenchymal cell, cholangiocyte, endothelial cell"
"Smooth muscle cell, pericyte, vascular smooth muscle cell, mesenchymal cell"
"Monocyte, neutrophil, myeloid cell, macrophage"
"Mast cell, basophil, eosinophil, myeloid cell"
"Macrophage, monocyte, antigen-presenting cell, M2 macrophage"
"Fibroblast, hepatic stellate cell, mesenchymal cell, pericyte"
"Dendritic cell, cDC1 dendritic cell, antigen-presenting cell, monocyte-derived dendritic cell"
"Dendritic cell, CD1c+ dendritic cell, antigen-presenting cell, monocyte-derived dendritic cell"
"Erythrocyte, erythroblast, red blood cell precursor, reticulocyte"
"Natural killer cell, cytotoxic T cell, CD8+ T cell, innate lymphoid cell"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, angiogenic endothelial cell"
"Cholangiocyte, epithelial cell, biliary epithelial cell, ductal cell"
